가게명,별점,주소,카테고리,위도,경도
330장금이,0.0,광주 서구 금화로492번길 4,한식,35.1499782496271,126.891511654562
옛복터,0.0,광주 동구 필문대로295번길 25,한식,35.1441728605731,126.929162646507
밥집명가,0.0,광주 북구 용주로30번길 94,한식,35.1819518333999,126.904543028215
밥집가자,0.0,광주 광산구 상무대로 509,전복요리,35.1437876914515,126.821969019618
bapzip4319,0.0,광주 광산구 송정로 61 1층,한식,35.1347551975997,126.797700466016
작은밥집,0.0,광주 동구 중앙로160번길 16-8,한식,35.1471732933079,126.914336911211
해안식당 첨단본점,4.36,광주 광산구 임방울대로801번길 12,"아귀찜,해물찜",35.2186245092487,126.846253824068
행복밥상,,광주 북구 동운로 190,한식,35.173569866817,126.871252990198
찜선생,4.52,광주 북구 우치로231번길 16,한식,35.1853530945631,126.90465169698
한식경,4.16,광주 동구 동명로25번길 6-1,"스파게티,파스타전문",35.1516709273616,126.923106176611
란도리,4.17,광주 동구 동명로 45-1,일식당,35.1517222704097,126.925503752361
갓포호사,4.73,광주 남구 봉선2로19번길 8 1층,이자카야,35.1260580499193,126.909367034337
목하식당,4.47,광주 동구 동명로25번길 6 1층 목하식당,일식당,35.1515897828025,126.923071353732
홍대개미 상무점,4.46,"광주 서구 상무연하로 75 2층 201, 202호",덮밥,35.1549567945355,126.849851137478
호시,4.36,광주 북구 버들로19번길 31 1층,일식당,35.158399275076,126.907576522684
그대오는길꽃길,4.46,광주 북구 송해로58번길 13-3,브런치,35.2039015793507,126.900580107376
공복킷사,4.44,광주 동구 동명로14번길 11-5 1층,퓨전음식,35.1502911985654,126.924514285797
짬뽕상회 광주충장로점,4.46,광주 동구 중앙로160번길 13 2층,중식당,35.1476930389561,126.914621802198
파쿠요루,4.45,광주 동구 동명로14번길 18,일식당,35.1499195698305,126.924953384411
정성한줄,,광주 북구 하서로 445,김밥,35.2146110894741,126.875622527097
밥앤술이있는포차,4.29,광주 북구 서하로 254 1층,포장마차,35.1869516319206,126.908129184942
탕화쿵푸마라탕 광주수완점,4.93,광주 광산구 임방울대로332번길 9-12,중식당,35.190025051573,126.825181359808
왕산,,광주 동구 동계천로 163 2층,덮밥,35.1493063235374,126.926935575048
카루식당,4.57,광주 동구 장동로 11 2층 카루식당,아시아음식,35.1488835506024,126.923519893521
밥풀 광주전남대직영점,4.35,광주 북구 면앙로6번길 75,퓨전음식,35.1770081386861,126.913636075477
밥FULL 광주 광주대점,,광주 남구 효덕로 291 1동 106호,퓨전음식,35.1101126636302,126.895736365288
밥FULL 충장로직영점,0.0,광주 동구 중앙로160번길 27-4,퓨전음식,35.1467652657615,126.916037752061
브리티시스웨그 비밀의화원,0.0,광주 서구 상무번영로 53 리치네스 빌딩,양식,35.1547663035627,126.852761512436
